Loading net-file from 'lust.net.xml' ... done (594ms).
Loading additional-files from 'vtypes.add.xml' ... done (1ms).
Loading additional-files from 'busstops.add.xml' ... done (6ms).
Loading additional-files from 'e1detectors.add.xml' ... done (23ms).
Loading additional-files from 'lust.poly.xml' ... done (241ms).
Loading additional-files from 'tll.static.xml' ... done (37ms).
Loading done.
Simulation started with time: 0.00
Warning: Vehicle '1DEtoFR.9.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4345.00.
Warning: Vehicle 'randUni8011:1.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4347.00.
Warning: Vehicle 'randUni8011:1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4356.00.
Warning: Vehicle 'randUni20768:1.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4356.00.
Warning: Vehicle 'randUni8011:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4366.00.
Warning: Vehicle 'randUni8011:1.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4383.00.
Warning: Vehicle '1LUtoFR.13.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4455.00.
Warning: Vehicle '1BEtoLU.17.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4477.00.
Warning: Vehicle 'randUni8011:1.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4518.00.
Warning: Vehicle 'randUni8011:1.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4531.00.
Warning: Vehicle '1FRtoDE.18.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4593.00.
Warning: Vehicle '1BEtoLU.20.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4594.00.
Warning: Vehicle 'randUni8011:1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4716.00.
Warning: Vehicle '1BEtoLU.23.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4730.00.
Warning: Vehicle 'randUni8501:1.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4763.00.
Warning: Vehicle 'randUni6552:1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4982.00.
Warning: Vehicle 'randUni6552:1.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5006.00.
Warning: Vehicle 'randUni6552:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5041.00.
Warning: Vehicle 'randUni6552:1.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5043.00.
Warning: Vehicle 'randUni13755:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5115.00.
Warning: Vehicle 'randUni13755:1.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5120.00.
Warning: Vehicle 'randUni13755:1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5124.00.
Warning: Vehicle 'randUni13755:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5191.00.
Warning: Vehicle '1DEtoFR.27.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5335.00.
Warning: Vehicle '1BEtoLU.34' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5375.00.
Warning: Vehicle '1DEtoFR.31.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5431.00.
Warning: Vehicle 'randUni17471:1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5451.00.
Warning: Vehicle '1BEtoLU.37.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5469.00.
Warning: Vehicle '1BEtoLU.37.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5470.00.
Warning: Vehicle '1BEtoLU.37.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5478.00.
Warning: Vehicle 'randUni17471:1.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5534.00.
Warning: Vehicle 'randUni17471:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5542.00.
Warning: Vehicle '1BEtoLU.40.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5603.00.
Warning: Vehicle '1DEtoFR.35.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5632.00.
Warning: Vehicle 'randUni17471:1.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5648.00.
Warning: Vehicle '1BEtoLU.41.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5691.00.
Warning: Vehicle '1BEtoLU.42.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5707.00.
Warning: Vehicle '1LUtoFR.43.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5778.00.
Warning: Vehicle '1BEtoLU.44.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5872.00.
Warning: Vehicle '1DEtoLU.49.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5916.00.
Warning: Vehicle '1BEtoLU.45.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=5949.00.
Warning: Vehicle '1BEtoLU.48.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6045.00.
Warning: Vehicle '1BEtoLU.49.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6046.00.
Warning: Vehicle '1BEtoLU.50' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6092.00.
Warning: Vehicle '1BEtoLU.50.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6093.00.
Warning: Vehicle '1BEtoLU.50.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6102.00.
Warning: Vehicle '1BEtoLU.50.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6103.00.
Warning: Vehicle '1BEtoLU.50.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6124.00.
Warning: Vehicle '1BEtoLU.52' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6206.00.
Warning: Vehicle '1BEtoLU.53.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6238.00.
Warning: Vehicle 'randUni19047:1.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6241.00.
Warning: Vehicle 'randUni19047:1.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6400.00.
Warning: Vehicle '1DEtoFR.55.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6521.00.
Warning: Vehicle '1BEtoLU.57.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6611.00.
Warning: Vehicle '1BEtoLU.60' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6793.00.
Warning: Vehicle '1BEtoLU.60.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6806.00.
Warning: Vehicle '1DEtoLU.76.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6840.00.
Warning: Vehicle '1BEtoLU.61.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6845.00.
Warning: Vehicle 'randUni3462:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6858.00.
Warning: Vehicle 'randUni3462:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6866.00.
Warning: Vehicle 'randUni3462:1.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6916.00.
Warning: Vehicle 'randUni3462:1.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6920.00.
Warning: Vehicle '1BEtoLU.64.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6921.00.
Warning: Vehicle '1DEtoLU.81.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6930.00.
Warning: Vehicle 'randUni3462:1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6945.00.
Warning: Vehicle '1BEtoLU.65.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6954.00.
Warning: Vehicle '1DEtoFR.63.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=6956.00.
Warning: Vehicle '1BEtoLU.68.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7064.00.
Warning: Vehicle '1BEtoLU.68.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7067.00.
Warning: Vehicle 'randUni1532:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7081.00.
Warning: Vehicle '1BEtoLU.69.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7089.00.
Warning: Vehicle 'randUni9325:1.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7094.00.
Warning: Vehicle 'randUni9325:1.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7103.00.
Warning: Vehicle 'randUni1532:1.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7128.00.
Warning: Vehicle 'randUni1532:1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7133.00.
Warning: Vehicle 'randUni1532:1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7149.00.
Warning: Vehicle '1BEtoLU.71.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7160.00.
Warning: Vehicle 'randUni4573:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7357.00.
Warning: Vehicle '1LUtoFR.76.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7369.00.
Warning: Vehicle 'randUni4573:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7381.00.
Warning: Vehicle '1BEtoLU.76' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7411.00.
Warning: Vehicle 'randUni16514:1.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7412.00.
Warning: Vehicle '1DEtoFR.71.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7430.00.
Warning: Vehicle '1DEtoFR.69.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7433.00.
Warning: Vehicle '2BEtoLU.0.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7516.00.
Warning: Vehicle '2BEtoLU.1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7559.00.
Warning: Vehicle '2BEtoLU.4.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7632.00.
Warning: Vehicle 'randUni171:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7756.00.
Warning: Vehicle 'randUni11725:1.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7761.00.
Warning: Vehicle 'randUni171:1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7765.00.
Warning: Vehicle 'randUni171:1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7779.00.
Warning: Vehicle 'randUni11725:1.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7781.00.
Warning: Vehicle '1DEtoFR.79.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7787.00.
Warning: Vehicle '2FRtoDE.1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7802.00.
Warning: Vehicle '2BEtoLU.8.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7831.00.
Warning: Vehicle '2BEtoLU.8.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7832.00.
Warning: Vehicle 'randUni11725:1.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7854.00.
Warning: Vehicle 'randUni20296:1.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7861.00.
Warning: Vehicle 'randUni20296:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7898.00.
Warning: Vehicle 'randUni20296:1.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7918.00.
Warning: Vehicle 'randUni20296:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7940.00.
Warning: Vehicle 'randUni20296:1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7954.00.
Warning: Vehicle 'randUni20296:1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7974.00.
Warning: Vehicle 'randUni20296:1.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7982.00.
Warning: Vehicle '1DEtoFR.83.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=7982.00.
Warning: Vehicle 'randUni20296:1.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8007.00.
Warning: Vehicle '2BEtoLU.16.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8080.00.
Warning: Vehicle 'randUni10347:1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8122.00.
Warning: Vehicle 'randUni13156:1.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8158.00.
Warning: Vehicle 'randUni13156:1.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8175.00.
Warning: Vehicle 'randUni10347:1.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8211.00.
Warning: Vehicle 'randUni13156:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8223.00.
Warning: Vehicle '2BEtoLU.22.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8239.00.
Warning: Vehicle 'randUni11684:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8241.00.
Warning: Vehicle 'randUni11684:1.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8245.00.
Warning: Vehicle 'randUni11684:1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8265.00.
Warning: Vehicle 'randUni11684:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8269.00.
Warning: Vehicle '2BEtoLU.23' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8323.00.
Warning: Vehicle '2BEtoLU.23.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8333.00.
Warning: Vehicle '2BEtoLU.23.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8361.00.
Warning: Vehicle '2BEtoLU.24.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8369.00.
Warning: Vehicle '2BEtoLU.26.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8512.00.
